root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:24:38.028228 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 11048:11308, ack 1, win 902, options [nop,nop,TS val 4230508446 ecr 1280389419], length 260
21:24:38.043239 IP 99.252.115.234.42082 > 134.122.38.74.22: Flags [.], ack 11308, win 5741, options [nop,nop,TS val 1280389436 ecr 4230508446], length 0
21:24:38.114437 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 11308:11512, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 204
21:24:38.114530 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 11512:11548, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 36
21:24:38.114568 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 11548:11752, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 204
21:24:38.114597 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 11752:11788, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 36
21:24:38.114652 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 11788:11992, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 204
21:24:38.114693 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 11992:12028, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 36
21:24:38.114750 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 12028:12232, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 204
21:24:38.114781 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 12232:12268, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 36
21:24:38.114998 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 12268:12472, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 204
21:24:38.115037 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 12472:12508, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 36
21:24:38.115086 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 12508:12712, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 204
21:24:38.115114 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 12712:12748, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 36
21:24:38.115154 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 12748:12952, ack 1, win 902, options [nop,nop,TS val 4230508532 ecr 1280389436], length 204
21:24:38.115183 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 12952:12988, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.115222 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 12988:13192, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
21:24:38.115274 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 13192:13432, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 240
21:24:38.115303 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 13432:13468, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.115343 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 13468:13672, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
21:24:38.115372 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 13672:13708, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.115411 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 13708:13912, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
21:24:38.115439 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 13912:13948, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 36
21:24:38.115479 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 13948:14152, ack 1, win 902, options [nop,nop,TS val 4230508533 ecr 1280389436], length 204
