root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:26:52.475541 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 13340:13376, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 36
21:26:52.475580 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 13376:13628, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 252
21:26:52.475609 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 13628:13664, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 36
21:26:52.475649 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 13664:13924, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 260
21:26:52.475678 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 13924:13960, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 36
21:26:52.475718 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 13960:14212, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 252
21:26:52.475789 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 14212:14248, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 36
21:26:52.475829 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 14248:14508, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 260
21:26:52.475862 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 14508:14544, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 36
21:26:52.475904 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 14544:14796, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 252
21:26:52.475930 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 14796:14832, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 36
21:26:52.475984 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 14832:15092, ack 1, win 902, options [nop,nop,TS val 4230642893 ecr 1280523809], length 260
